st_name,party
Alaska,Republican
Alabama,Republican
Arkansas,Republican
Arizona,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
Delaware,Democrat
Florida,Republican
Georgia,Republican
Hawaii,Democrat
Iowa,Republican
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Kansas,Democrat
Kentucky,Republican
Louisiana,Democrat
Massachusetts,Republican
Maryland,Republican
Maine,Democrat
Michigan,Democrat
Minnesota,Democrat
Missouri,Republican
Mississippi,Republican
North Dakota,Republican
Nebraska,Republican
New Hampshire,Republican
New Jersey,Democrat
New Mexico,Democrat
Nevada,Democrat
New York,Democrat
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Democrat
Rhode Island,Democrat
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Utah,Republican
Virginia,Republican
Vermont,Republican
Washington,Democrat
Wisconsin,Democrat
West Virginia,Democrat
Wyoming,Republican
District of Columbia,There is no governor in DC !
